article_factor,article_id,article,authors,published_journal,NOTES__RHS_VARIABLES__ETC_
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 4 Row 1 (DDD)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (1,5) (DD)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (1,1)"
41,Powell (2015),"Synthetic Control Estimation Beyond Case Studies - Does the Minimum Wage Reduce Employment","Powell","RAND working paper","Table 3, Column 5"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 3, gFTENSH from Hours Data: Eq 48"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (1,2)"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (1,6) (DD)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Urban uncovered"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
34,Hoffman (2014),"Employment Effects of the 2009 Minimum Wage Increase: New Evidence from State-Based Comparisons of Workers by Skill Level","Hoffman","The B.E. Journal of Economic Analysis & Policy","Table 6, 16-19, Not in College, Demog Traits (DID)-W"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 2 Mountain"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (3,1)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Rural uncovered"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (3,3)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (3,2)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Urban covered"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 1, gFTENS from Position Data: Eq 13"
34,Hoffman (2014),"Employment Effects of the 2009 Minimum Wage Increase: New Evidence from State-Based Comparisons of Workers by Skill Level","Hoffman","The B.E. Journal of Economic Analysis & Policy","Table 5, DID(w) -- Panel A"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Urban uncovered"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 2, gFTENSH from Hours Data: Eq 42"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 9 (1,4)"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 4, gFTENS from Position Data: Eq 52"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (4,4)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 9 (1,1)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (2,3)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 9 (1,3)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 9 (1,2)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Rural covered"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (2,1)"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","PT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","FT only, Baseline specification, MW Index"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (2,2)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Joint minimum wage effect, Spec 1 (Canonical)"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","PT only, Baseline specification, MW & Hourly Wage Separated"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (2,1)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (2,3)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (3,4)"
40,Liu et al. (2015),"Impact of the Minimum Wage on Youth Labor Markets","Liu, Hyclak, & Regmi","Labour","Table A1, Panel A, col 1"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","PT only, Baseline specification, MW Index"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Unconditional Hrs"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 6 (2,2)"
1,Pereira (2003),"The impact of MWs on youth employment in Portugal","Pereira,S. C.","European Economic Review","18-19 year olds, 1986-88"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
15,Addison et al. (2009),"Do MWs raise employment? Evidence from the U.S. retail-trade sector","Addison, Blackburn & Cotti","Labour Economics","Table 6, Panel C (1,2): County Trends, by right-to-work status"
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.","Bureau of Business and Economic Research","Construction"
35,Neumark et al. (2014a),"Revisiting the MW-Employment Debate / Bathwater","Neumark, Salas & Wascher","Industrial and Labor Relations Review","Table 2 New England"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Unconditional Hrs"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 4 Row 4 (DDD)"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","PT only, Baseline specification, MW Index"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (4,6) (DD)"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Unconditional Hrs"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 2 (Division-specific time controls)"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 3, gFTENSH from Position Data limited to Hrs Sample: Eq 49"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","FT only, Baseline specification, MW & Hourly Wage Separated"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail"
7,Dodson (2002),"The Impact of the Minimum Wage in West Virginia: A Test of the Low-Wage-Area Theory","Dodson","Journal of Labor Research","Urban Counties (4)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 7, Spec 4 (Both sets of time controls)"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail, Unconditional Hrs"
18,Neumark and Nizalova (2007),"MW Effects in the LR","Neumark & Nizalova","Journal of Human Resources","Table 3 (Sum of Column 3) 25-29"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers, 16-19."
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (1,5)"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 9, row 4, last column"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenage Girls, All Individuals"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: industry controls, Rural covered"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Including prime-age skilled employment rate, MW Index"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 1, gFTENS from Position Data: Eq 21"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 2, gFTENSH from Position Data limited to Hrs Sample: Eq 44"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Including prime-age skilled employment rate, MW & Hourly Wage Separated"
19,Sabia (2009a),"Identifying Minimum Wage Effects: New Evidence from Monthly CPS Data","Sabia","Industrial Relations","Table 4 (1,6)"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","FT only, Baseline specification, MW Index"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Baseline, excluding prime-age skilled employment rate, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","FT only, Baseline specification, MW & Hourly Wage Separated"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Baseline, excluding prime-age skilled employment rate, MW Index"
28,Sabia et al. (2012),"Are the Effects of Minimum Wage Increases Always Small? New Evidence from a Case Study Of New York State","Sabia, Burkhauser, and Hansen","Industrial and Labor Relations Review","Table 3 (4,5) (DD)"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (1,3)"
8,Orazem and Mattila (2002),"MW effects on hours, employment, and number of firms: The Iowa case","Orazem,P. F.; Mattila,J. P.","Journal of Labor Research","Table 4: no industry controls, Urban covered"
20,Sabia (2009b),"The Effects of Minimum Wage Increases on Retail Employment and Hours: New Evidence from Monthly CPS Data","Sabia,J.J.","Journal of Labor Research","Teenagers (16-19) in retail"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (1,1)"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Nonenrolled with high school education or less, including prime-age skilled employment rate, MW Index"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","FT only, Baseline specification, MW Index"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Including prime-age skilled employment rate, MW Index"
10,Potter (2006),"Measuring the Employment Impacts of the Living Wage Ordinance in Santa Fe, New Mexico","Potter,N.","Bureau of Business and Economic Research","Health Care"
39,Gittings and Schmutte (2015),"Getting Handcuffs on an Octopus: Minimum Wages, Employment, and Turnover WP","Gittings & Schmutte","Industrial and Labor Relations Review","Table 7 (1,2)"
21,Belman and Wolfson (2010),"The Effect of Legislated Minimum Wage Increases on: Employment and Hours: A Dynamic Analysis","Belman & Wolfson","Labour","See comment in A1, B&W 2009 worksht"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Baseline, excluding prime-age skilled employment rate, MW Index"
19,Sabia (2009a),"Identifying Minimum Wage Effects: New Evidence from Monthly CPS Data","Sabia","Industrial Relations","Table 4 (1,1)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Joint minimum wage effect, Spec 2 (Division-specific time controls)"
19,Sabia (2009a),"Identifying Minimum Wage Effects: New Evidence from Monthly CPS Data","Sabia","Industrial Relations","Table 4 (1,2)"
23,Persky and Baiman (2010),"Do State Minimum Wage Laws Reduce Employment? Mixed Messages from Fast Food Outlets in Illinois and Indiana","Persky & Baiman","Journal of Regional Analysis and Policy","Table 1, gFTENSH from Position Data limited to Hrs Sample: Eq 17"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Nonenrolled with high school education or less, including prime-age skilled employment rate, MW Index"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 2, Model 1"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 10 (Panel A, (2,1))"
4,Addison and Ozturk (2012),"Minimum Wages, Labor Market Institutions, and Female Employment: A Cross-Country Analysis","Addison and Ozturk","Industrial and Labor Relations Review","BDM Issues"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Nonenrolled with high school education or less, including prime-age skilled employment rate, MW & Hourly Wage Separated"
18,Neumark and Nizalova (2007),"MW Effects in the LR","Neumark & Nizalova","Journal of Human Resources","Table 3 (Sum of Column 2) 25-29"
13,Orrenius and Zavodny (2008),"The Effect of MWs on Immigrants' Employment and Earnings (Pub 2008 in ILRR)","Orrenius,P.; Zavodny,M.","Industrial and Labor Relations Review","Teenagers, All Individuals"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 3, Spec 1 (Canonical)"
24,Allegretto et al. (2011),"Do Minimum Wages Really Reduce Teenage Employment - Accounting for Heterogeneity and Selectivity in State Panel Data","Allegretto, S.; Dube, A; Reich, M.","Industrial Relations","Table 5, Joint minimum wage effect, Spec 1 (Canonical)"
17,Keil et al. (2009),"Univariate Regressions of Employment on Minimum Wages in the Panel of U.S. States","Keil, M.; Robertson, D. and Symons, J.","Robert Day School of Economics and Finance Research Paper","Table 3, Model 10"
30,Allegretto et al. (2015),"Credible Research Designs for Minimum Wage Studies","Allegretto, Dube, Reich & Zipperer","Industrial and Labor Relations Review","Table 5 (Panel A, (4,1))"
2,Campolieti et al. (2006),"Minimum Wage Impacts from a Prespecified Research Design: Canada 1981Ð1997","Campolieti, Gunderson and Riddell","Industrial Relations","Including prime-age skilled employment rate, MW & Hourly Wage Separated"
